蘸盐,2794283127,2022-03-10 18:12:11,北京 朝阳区,"建议吉林省纪委和公检法介入。如果有隐瞒疫情、瞒报、包括组织学生吃退烧药掩盖症状等破坏传染病防治的行为，除了党纪政纪处分外，构成犯罪的，一定要顶格追究刑事责任<span class=""url-icon""><img alt=[思考] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-ff9602dd08.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[思考] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_sikao-ff9602dd08.png"" style=""width:1em; height:1em;"" /></span>"
并不重要就是真理,7412983313,2022-03-10 17:52:06,上海,吉林怎么了
临兵斗者皆列在阵前,2731328364,2022-03-10 18:10:01,广西,出于什么思考？学校的操作让人看不懂啊
尼古拉斯二娃子,7468121895,2022-03-10 14:55:16,其他,"网传吉林农业科技学院的疫情是真的吗<span class=""url-icon""><img alt=[单身狗] src=""https://h5.sinaimg.cn/m/emoticon/icon/_/co_niuec-7d05bc992a.png"" style=""width:1em; height:1em;"" /></span>"
并不重要就是真理,7412983313,2022-03-10 17:52:47,上海,需要周秉义
桃花依旧笑春风lovemyself,6129794156,2022-03-10 14:53:42,其他,刚看到哪个学校的事儿，是吉林么？
地狱河,1649617657,2022-03-10 18:00:14,广东 深圳,"香港弄那么大一个当官的都没有事<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>"
京城屿鹿,5391725507,2022-03-10 14:57:44,湖南,"而且我朋友被送到隔离点后到现在没有吃饭<span class=""url-icon""><img alt=[泪] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png"" style=""width:1em; height:1em;"" /></span>"
王者·影空间,5043856300,2022-03-10 18:02:11,海外 其他,昏官 庸官该撤
卡布奇洛开心锦鲤,5509877332,2022-03-10 17:20:19,浙江,你们不要再叫官媒报道了，官媒是不会真实报道中国不好的信息的！
手持保温杯泡枸杞的年纪,3294886217,2022-03-10 18:06:36,河北 唐山,希望负刑事责任
榴莲酥可爱多,6380169846,2022-03-10 14:54:41,吉林,能不能看看学校啊？
天宝大将军,3224512311,2022-03-10 19:07:08,吉林 长春,先抗疫，追责先放一放，肯定会的
凌儿17516,5191359461,2022-03-10 17:58:16,其他,请中央重视！！！派医疗队支援！！！紧急配送防疫治疗物资！！！
曙光即将到来,5242404078,2022-03-10 17:52:42,其他,实事求是就好
许超医生,5979495016,2022-03-10 17:49:28,山东,最新消息，该校党委书记已被免职。追责是后话，当务之急是要确保学生们的安全！持续关注中。
六月克村,5518826934,2022-03-10 15:05:27,河南 三门峡,吉林农业科技学院
oceanfat,1760439993,2022-03-10 17:48:51,西藏 林芝,压住了就是管理牛逼，压不住才叫“爆发”
非雨晓鹤,5251450492,2022-03-10 15:10:44,河北,吉林，加油。
五亿亿星桥,2705965761,2022-03-10 18:23:58,广西 防城港,这狗真能捂
治皮医性的马大夫,1903975320,2022-03-10 17:47:29,西藏,有人要下课了。天天学，天天讲，天天练。还这样。
五指毛桃__,6189357615,2022-03-10 17:39:40,其他,真的都是轻症吗？看到说有人没有意识了。
冀中小市民,5805078851,2022-03-10 18:03:23,河北,"好歹还能追责<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>"
逗猫中郎将,3191759064,2022-03-10 17:50:15,山东 济南,我擦，这什么操作？出现一例疑似就该高度重视了，怎么还拖到现在。这是什么鬼操作
-张张不吃香菜,5530451767,2022-03-10 17:29:16,河北 石家庄,"刚刚发的说农科院确诊病例多，这个又没有农科院的学生<span class=""url-icon""><img alt=[可爱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[可爱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[可爱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png"" style=""width:1em; height:1em;"" /></span>这到底是为什么呢<span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png"" style=""width:1em; height:1em;"" /></span>"
南看台小球迷,7687349912,2022-03-10 17:57:54,其他,原博评论没法看了
改名字真是一件非常困难的事,6447489657,2022-03-10 16:33:18,重庆,"小小年纪，冠冕堂皇这一套还挺信手拈来的<span class=""url-icon""><img alt=[good] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png"" style=""width:1em; height:1em;"" /></span>"
LoeJ11,7616732782,2022-03-10 13:08:11,吉林,"加油 一定会有人看到的 一定会有人帮忙的<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>"
怪诞幽灵,5679332571,2022-03-10 18:00:43,其他,"老有人说不严重不碍事儿，当成大型感冒   ( ᑭ`д´)ᓀ))д´)ᑫ 咋了，就不说新冠，感冒是个好事儿是吧？<span class=""url-icon""><img alt=[疑问] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yiwen-40c066d5c3.png"" style=""width:1em; height:1em;"" /></span>被传染感冒还挺开心吗<span class=""url-icon""><img alt=[疑问] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yiwen-40c066d5c3.png"" style=""width:1em; height:1em;"" /></span>知不知道免疫力差的人要处处小心才能不感冒？感冒的时候头昏脑涨，再加上鼻炎，不会有人还挺开心的吧<span class=""url-icon""><img alt=[疑问] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yiwen-40c066d5c3.png"" style=""width:1em; height:1em;"" /></span> 要是我们学校干这事儿，那真的( ・_ゝ・)"
克勘堇杀,5883531714,2022-03-10 15:05:17,其他,能先看看学校吗？
Cc哥lc,5887051926,2022-03-10 16:38:30,山东 青岛,别的不说哥们，只要你们校长不下台，你保研是稳了！
原来是芒果欸,7313440945,2022-03-10 13:04:13,海外,<a href='/n/人民日报'>@人民日报</a> <a href='/n/央视新闻'>@央视新闻</a>
lujundejiu,3546355943,2022-03-10 18:58:31,上海 浦东新区,疫情二年，一个城市没有应急预案？学校有疫情，靠瞒能瞒住？上报教委，市委呀，
心中不变的坚持,3071521135,2022-03-10 15:00:40,吉林 长春,小小的吉林市都没人管么？没有别的城市来帮忙么？<a href='/n/中国新闻网'>@中国新闻网</a> <a href='/n/央视新闻'>@央视新闻</a>
